Name,Total_Network
reset_banner,20.60000000000001
dav_method_vsn_control,20.300000000000004
set_loglevel,20.250000000000007
bndm_compile,20.250000000000004
handle_printenv,20.150000000000002
cmd_rewriteengine,20.089999999999996
update_loglevel,20.050000000000008
config_perdir_merge,19.889999999999997
handle_set,19.8
include_config,19.750000000000007
config_perdir_create,19.49
config_server_merge,19.29
set_use_canonical_phys_port,19.250000000000007
dav_method_unlock,19.200000000000003
set_use_canonical_name,19.10000000000001
dsortf,19.1
parseargline,19.04
config_server_create,19.04
set_accept_path_info,18.90000000000001
server_main_loop,18.71
set_serverpath,18.70000000000001
dav_method_lock,18.700000000000003
set_hostname_lookups,18.65000000000001
output_results_at_exit,18.620000000000005
set_allow2f,18.45000000000001
set_timeout,18.25000000000001
set_state_dir,18.20000000000001
